accuracy,label,round
0.998046875,0,1
0.9975429975429976,0,1
0.9975429975429976,0,1
1.0,0,1
0.9975429975429976,0,1
1.0,0,1
0.9921875,0,1
0.998046875,0,1
1.0,0,1
0.994140625,0,1
1.0,0,1
1.0,0,1
0.998046875,0,1
0.9975429975429976,0,1
1.0,0,1
0.998046875,0,1
1.0,0,1
0.998046875,0,1
0.998046875,0,1
1.0,0,1
1.0,0,1
0.9975429975429976,0,1
0.9975429975429976,0,1
1.0,0,1
1.0,0,1
0.994140625,0,1
0.9975429975429976,0,1
1.0,0,1
0.998046875,0,1
0.9921875,0,1
0.998046875,0,1
0.98828125,1,1
0.99609375,0,1
0.998046875,0,1
0.994140625,0,1
1.0,0,1
1.0,0,1
0.9921875,0,1
0.990234375,0,1
1.0,0,1
0.998046875,0,1
1.0,0,1
0.994140625,0,1
0.9975429975429976,0,1
0.998046875,0,1
1.0,0,1
0.998046875,1,1
0.998046875,0,1
1.0,0,1
1.0,0,1
0.9975429975429976,0,1
0.998046875,0,1
1.0,0,1
1.0,0,1
0.994140625,0,1
0.9921875,0,1
1.0,0,1
1.0,0,1
0.998046875,0,1
0.998046875,0,1
0.998046875,0,1
0.998046875,0,1
0.998046875,0,1
0.9975062344139651,0,1
1.0,0,1
0.998046875,0,1
0.9975429975429976,0,1
0.998046875,0,1
1.0,1,1
1.0,0,1
0.998046875,0,1
0.998046875,0,1
0.998046875,0,1
0.998046875,0,1
1.0,0,1
0.998046875,0,1
1.0,0,1
1.0,0,1
1.0,0,1
0.99609375,0,1
0.998046875,0,1
1.0,0,1
1.0,0,1
1.0,0,1
0.998046875,0,1
1.0,0,1
1.0,0,1
0.9975429975429976,0,1
0.998046875,0,1
0.994140625,0,1
0.998046875,0,1
0.998046875,0,1
1.0,0,1
0.998046875,0,1
1.0,0,1
0.990234375,1,1
0.9975429975429976,0,1
1.0,0,1
1.0,0,1
0.998046875,0,1
0.9975429975429976,0,1
0.9921875,0,1
1.0,0,1
1.0,0,1
1.0,0,1
1.0,0,1
0.9975429975429976,0,1
0.9921875,0,1
0.998046875,0,1
0.998046875,0,1
0.998046875,0,1
0.99609375,0,1
0.99609375,0,1
1.0,1,1
0.998046875,0,1
0.9975429975429976,0,1
0.998046875,0,1
1.0,0,1
0.9975429975429976,0,1
1.0,0,1
1.0,0,1
0.994140625,0,1
1.0,0,1
0.9487179487179487,1,1
1.0,0,1
0.994140625,0,1
1.0,0,1
1.0,0,1
0.998046875,0,1
1.0,0,1
0.998046875,0,1
0.9975429975429976,0,1
0.998046875,0,1
0.9975429975429976,0,1
0.998046875,0,1
1.0,0,1
0.998046875,0,1
0.998046875,0,1
0.9975429975429976,0,1
1.0,0,1
1.0,0,1
1.0,0,1
1.0,0,1
1.0,0,1
1.0,0,1
1.0,0,1
1.0,0,1
1.0,0,1
0.998046875,0,1
0.998046875,0,1
1.0,0,1
0.998046875,0,1
0.998046875,0,1
0.9975429975429976,0,1
0.994140625,0,1
0.998046875,0,1
1.0,0,1
1.0,0,1
1.0,0,1
0.9952380952380953,0,1
1.0,0,1
1.0,0,1
0.994140625,0,1
0.998046875,0,1
1.0,0,1
0.998046875,0,1
0.99609375,0,1
1.0,0,1
1.0,0,1
0.990234375,0,1
0.9975062344139651,0,1
1.0,0,1
1.0,0,1
0.998046875,0,1
0.994140625,1,1
0.998046875,0,1
0.998046875,0,1
1.0,0,1
0.998046875,0,1
0.9975429975429976,0,1
0.9975429975429976,0,1
0.998046875,0,1
1.0,0,1
1.0,0,1
1.0,0,1
0.9975429975429976,0,1
0.998046875,0,1
1.0,0,1
0.99609375,0,1
0.9975429975429976,0,1
1.0,0,1
1.0,0,1
0.998046875,0,1
1.0,0,1
1.0,0,1
0.998046875,0,1
0.998046875,0,1
0.998046875,0,1
1.0,0,1
0.998046875,0,1
0.998046875,0,1
1.0,0,1
1.0,0,1
0.998046875,0,1
1.0,0,1
1.0,0,1
0.9921875,0,1
0.998046875,0,1
1.0,0,1
1.0,0,1
0.994140625,0,1
0.998046875,1,1
1.0,0,1
0.99609375,0,1
1.0,0,1
1.0,0,1
1.0,0,1
1.0,0,1
0.998046875,0,1
0.994140625,0,1
0.998046875,0,1
0.998046875,0,1
1.0,0,1
0.998046875,0,1
0.9975429975429976,0,1
0.998046875,0,1
1.0,0,1
0.998046875,0,1
1.0,0,1
0.998046875,0,1
1.0,0,1
1.0,0,1
0.998046875,0,1
0.99609375,0,1
1.0,0,1
0.9952380952380953,0,1
0.998046875,0,1
1.0,0,1
0.994140625,0,1
0.998046875,0,1
0.998046875,0,1
0.998046875,0,1
1.0,0,1
0.998046875,0,1
1.0,0,1
0.998046875,0,1
1.0,0,1
0.998046875,0,1
0.998046875,0,1
0.998046875,0,1
1.0,0,1
0.998046875,0,1
0.998046875,0,1
0.998046875,0,1
0.994140625,0,1
1.0,0,1
0.998046875,0,1
0.998046875,0,1
0.99609375,0,1
1.0,0,1
0.994140625,0,1
0.9975429975429976,0,1
0.998046875,0,1
0.9928571428571429,0,1
0.994140625,0,1
1.0,0,1
1.0,0,1
0.998046875,0,1
0.9975429975429976,0,1
0.998046875,0,1
1.0,0,1
1.0,0,1
1.0,0,1
1.0,1,1
0.99609375,0,1
0.9921875,0,1
1.0,0,1
1.0,0,1
1.0,0,1
1.0,0,1
1.0,0,1
0.8571428571428571,1,1
0.998046875,0,1
0.998046875,0,1
1.0,0,1
0.9975429975429976,0,1
0.998046875,0,1
0.998046875,0,1
0.998046875,0,1
1.0,0,1
1.0,0,1
0.998046875,0,1
0.99609375,0,1
1.0,0,1
0.99609375,1,1
0.998046875,0,1
1.0,0,1
1.0,0,1
0.9952380952380953,0,1
0.998046875,0,1
0.9975429975429976,0,1
1.0,0,1
1.0,0,1
1.0,0,1
1.0,0,1
0.998046875,0,1
1.0,0,1
1.0,0,1
0.998046875,0,1
1.0,0,1
1.0,0,1
0.998046875,0,1
0.998046875,0,1
0.998046875,0,1
0.998046875,0,1
0.998046875,0,1
0.9975429975429976,0,1
0.998046875,0,1
0.99609375,0,1
0.9975429975429976,0,1
1.0,0,1
0.998046875,0,1
1.0,0,1
0.998046875,0,1
1.0,0,1
1.0,0,1
0.998046875,0,1
0.998046875,0,1
1.0,0,1
0.9975429975429976,0,1
0.9975429975429976,0,1
0.990234375,0,1
0.998046875,0,1
1.0,0,1
0.998046875,0,1
1.0,0,1
0.998046875,0,1
0.998046875,0,1
1.0,0,1
0.998046875,0,1
0.98828125,0,1
0.998046875,0,1
0.9921875,0,1
0.998046875,0,1
0.99609375,0,1
0.994140625,0,1
0.998046875,0,1
1.0,0,1
0.9975429975429976,0,1
0.998046875,0,1
1.0,0,1
0.998046875,0,1
1.0,0,1
1.0,0,1
0.998046875,0,1
1.0,0,1
1.0,0,1
0.998046875,0,1
0.998046875,0,1
1.0,0,1
0.998046875,0,1
1.0,0,1
0.994140625,0,1
0.998046875,0,1
1.0,0,1
1.0,0,1
0.99609375,0,1
0.998046875,0,1
0.99609375,0,1
0.99609375,0,1
0.998046875,0,1
1.0,0,1
1.0,0,1
1.0,0,1
0.99609375,0,1
0.990234375,0,1
0.99609375,0,1
1.0,0,1
0.9975429975429976,0,1
0.998046875,0,1
0.994140625,0,1
1.0,0,1
0.998046875,0,1
1.0,0,1
0.998046875,0,1
0.98828125,0,1
0.9975429975429976,0,1
1.0,0,1
0.998046875,0,1
0.99609375,0,1
0.998046875,0,1
0.9928571428571429,0,1
0.998046875,0,1
1.0,0,1
1.0,0,1
0.998046875,0,1
0.998046875,0,1
1.0,0,1
0.998046875,0,1
1.0,0,1
0.998046875,0,1
0.998046875,0,1
1.0,0,1
1.0,0,1
1.0,0,1
0.998046875,0,1
1.0,0,1
1.0,0,1
0.998046875,0,1
1.0,0,1
1.0,0,1
0.9975429975429976,0,1
1.0,0,1
0.998046875,0,1
0.998046875,0,1
0.99609375,0,1
1.0,0,1
0.9921875,0,1
0.994140625,0,1
0.994140625,0,1
0.9928571428571429,0,1
0.998046875,0,1
0.998046875,0,1
1.0,0,1
1.0,0,1
0.998046875,0,1
0.9975429975429976,0,1
1.0,0,1
0.994140625,0,1
0.9921875,1,1
0.9975429975429976,0,1
0.994140625,0,1
0.998046875,0,1
1.0,0,1
0.998046875,0,1
0.998046875,1,1
1.0,0,1
0.998046875,0,1
0.994140625,0,1
0.9975429975429976,0,1
0.98828125,0,1
0.9975429975429976,0,1
1.0,0,1
0.998046875,0,1
1.0,0,1
1.0,0,1
0.99609375,0,1
1.0,0,1
0.998046875,0,1
0.998046875,0,1
0.998046875,0,1
0.998046875,0,1
0.998046875,0,1
1.0,0,1
1.0,0,1
0.9975429975429976,0,1
1.0,0,1
1.0,0,1
1.0,0,1
1.0,0,1
0.9921875,0,1
0.998046875,0,1
0.990234375,0,1
0.99609375,0,1
0.998046875,0,1
0.994140625,0,1
1.0,0,1
0.998046875,0,1
0.998046875,0,1
0.998046875,0,1
1.0,0,1
1.0,0,1
1.0,0,1
1.0,0,1
1.0,0,1
0.9921875,0,1
1.0,1,1
0.99609375,0,1
0.998046875,0,1
0.98828125,0,1
0.998046875,0,1
0.99609375,0,1
1.0,0,1
0.998046875,0,1
1.0,0,1
1.0,0,1
0.9952380952380953,0,1
1.0,0,1
0.998046875,0,1
0.9921875,0,1
0.998046875,0,1
0.9921875,0,1
1.0,0,1
1.0,0,1
0.9975429975429976,0,1
1.0,0,1
0.99609375,0,1
0.998046875,0,1
0.99609375,0,1
0.998046875,0,1
0.998046875,0,1
0.998046875,0,1
0.9975429975429976,0,1
1.0,0,1
1.0,0,1
0.99609375,0,1
0.9975429975429976,0,1
1.0,0,1
0.998046875,0,1
0.998046875,0,1
1.0,0,1
0.998046875,0,1
0.998046875,0,1
0.9975429975429976,0,1
0.9975429975429976,0,1
1.0,0,1
0.9975429975429976,0,1
0.998046875,0,1
1.0,0,1
0.998046875,0,1
0.998046875,0,1
1.0,0,1
0.994140625,0,1
0.998046875,0,1
0.998046875,0,1
0.9975429975429976,0,1
0.998046875,0,1
0.9975429975429976,0,1
1.0,0,1
1.0,0,1
1.0,0,1
1.0,0,1
1.0,0,1
0.998046875,0,1
0.9975429975429976,0,1
0.99609375,0,1
0.9975429975429976,0,1
0.99609375,0,1
0.990234375,1,1
0.998046875,0,1
1.0,0,1
1.0,0,1
0.998046875,0,1
0.998046875,0,1
1.0,0,1
0.998046875,0,1
0.99609375,0,1
1.0,0,1
0.9975429975429976,0,1
0.998046875,0,1
0.998046875,0,1
1.0,0,1
0.994140625,0,1
0.998046875,0,1
1.0,0,1
0.9975429975429976,0,1
0.998046875,0,1
0.9921875,0,1
0.9921875,0,1
1.0,0,1
0.998046875,0,1
0.9975429975429976,0,1
0.9921875,0,1
0.99609375,0,1
1.0,0,1
0.998046875,0,1
0.9975429975429976,0,1
0.9975429975429976,0,1
1.0,0,1
1.0,0,1
1.0,0,1
0.99609375,0,1
1.0,0,1
1.0,0,1
0.998046875,0,1
0.9975429975429976,0,1
0.9928571428571429,0,1
1.0,0,1
0.998046875,0,1
0.99609375,0,1
1.0,0,1
0.99609375,0,1
1.0,0,1
0.9975429975429976,0,1
1.0,0,1
0.998046875,0,1
0.998046875,0,1
0.998046875,0,1
0.99609375,0,1
0.998046875,0,1
0.998046875,0,1
0.998046875,0,1
0.998046875,0,1
0.994140625,0,1
0.998046875,1,1
1.0,0,1
0.9572649572649573,1,1
1.0,0,1
1.0,0,1
0.998046875,0,1
1.0,0,1
0.998046875,0,1
1.0,0,1
1.0,0,1
0.998046875,0,1
0.994140625,0,1
0.998046875,0,1
0.998046875,0,1
0.994140625,0,1
0.998046875,0,1
0.9975429975429976,0,1
0.998046875,0,1
0.990234375,0,1
1.0,0,1
0.998046875,0,1
1.0,0,1
0.994140625,0,1
1.0,0,1
0.998046875,0,1
1.0,0,1
1.0,0,1
1.0,0,1
1.0,0,1
0.9975429975429976,0,1
0.99609375,1,1
1.0,0,1
0.998046875,0,1
1.0,0,1
0.998046875,0,1
0.998046875,0,1
0.998046875,0,1
1.0,0,1
1.0,0,1
1.0,0,1
1.0,0,1
0.9921875,0,1
0.998046875,0,1
0.998046875,0,1
0.8571428571428571,1,1
1.0,0,1
1.0,0,1
0.994140625,0,1
1.0,0,1
0.9975429975429976,0,1
1.0,0,1
0.998046875,0,1
0.9975429975429976,0,1
1.0,0,1
0.998046875,0,1
0.9975429975429976,0,1
0.998046875,0,1
1.0,0,1
1.0,0,1
0.994140625,0,1
1.0,0,1
0.99609375,0,1
1.0,0,1
0.994140625,0,1
0.998046875,0,1
0.994140625,0,1
0.998046875,0,1
0.9975429975429976,0,1
0.9975429975429976,0,1
1.0,0,1
0.998046875,0,1
1.0,0,1
0.9921875,0,1
0.994140625,0,1
1.0,0,1
0.994140625,0,1
0.998046875,0,1
0.998046875,0,1
1.0,0,1
0.9921875,0,1
1.0,0,1
0.998046875,0,1
0.994140625,0,1
0.9975429975429976,0,1
1.0,0,1
0.99609375,0,1
1.0,0,1
0.9975429975429976,0,1
0.9975429975429976,0,1
1.0,0,1
0.998046875,0,1
1.0,0,1
0.9975429975429976,0,1
1.0,0,1
0.99609375,0,1
0.998046875,0,1
1.0,0,1
0.998046875,0,1
0.998046875,0,1
0.9921875,0,1
1.0,0,1
0.998046875,0,1
1.0,0,1
0.99609375,0,1
0.9975429975429976,0,1
0.994140625,0,1
1.0,0,1
1.0,0,1
1.0,0,1
1.0,0,1
1.0,0,1
1.0,0,1
0.9921875,0,1
0.9975429975429976,0,1
1.0,0,1
1.0,0,1
0.998046875,0,1
0.998046875,0,1
0.998046875,0,1
0.9928571428571429,0,1
1.0,0,1
1.0,0,1
1.0,0,1
0.998046875,0,1
1.0,0,1
0.998046875,0,1
0.998046875,0,1
0.99609375,1,1
0.998046875,0,1
0.994140625,0,1
1.0,0,1
1.0,0,1
0.998046875,1,1
0.998046875,0,1
0.99609375,0,1
0.99609375,0,1
0.994140625,0,1
1.0,0,1
0.998046875,0,1
0.9975062344139651,0,1
0.998046875,0,1
0.998046875,0,1
0.994140625,0,1
0.99609375,0,1
0.990234375,1,1
0.9487179487179487,1,1
1.0,0,1
1.0,0,1
0.9975429975429976,0,1
0.998046875,0,1
0.99609375,0,1
0.9975429975429976,0,1
0.9952380952380953,0,1
0.998046875,0,1
0.998046875,0,1
0.9975429975429976,0,1
0.994140625,0,1
0.998046875,0,1
0.99609375,0,1
0.998046875,0,1
1.0,0,1
1.0,0,1
0.998046875,0,1
1.0,0,1
0.998046875,1,1
1.0,0,1
0.998046875,0,1
1.0,0,1
0.9952380952380953,0,1
1.0,0,1
1.0,0,1
0.994140625,0,1
0.998046875,0,1
1.0,0,1
0.998046875,0,1
1.0,0,1
0.998046875,0,1
0.9975429975429976,0,1
0.998046875,0,1
0.998046875,0,1
1.0,0,1
1.0,0,1
0.998046875,0,1
0.9921875,1,1
0.998046875,0,1
1.0,0,1
0.998046875,0,1
0.998046875,0,1
0.9975429975429976,0,1
0.998046875,0,1
0.9921875,0,1
0.998046875,0,1
1.0,0,1
1.0,0,1
0.998046875,0,1
1.0,0,1
0.998046875,0,1
0.9975429975429976,0,1
0.998046875,0,1
0.998046875,0,1
0.998046875,0,1
1.0,0,1
0.99609375,0,1
0.998046875,0,1
0.99609375,0,1
0.990234375,0,1
0.998046875,0,1
1.0,0,1
1.0,0,1
0.9921875,0,1
1.0,0,1
1.0,0,1
0.99609375,0,1
0.998046875,0,1
0.99609375,0,1
0.998046875,0,1
1.0,0,1
0.99609375,0,1
1.0,0,1
0.998046875,0,1
1.0,0,1
0.998046875,0,1
0.9975429975429976,0,1
0.99609375,0,1
1.0,0,1
1.0,0,1
1.0,0,1
1.0,0,1
1.0,0,1
1.0,0,1
0.998046875,0,1
0.998046875,0,1
1.0,0,1
1.0,0,1
1.0,0,1
0.998046875,0,1
0.998046875,0,1
0.9921875,0,1
1.0,0,1
0.998046875,0,1
0.9928571428571429,0,1
0.99609375,0,1
1.0,0,1
0.998046875,0,1
0.99609375,0,1
1.0,0,1
0.998046875,0,1
0.99609375,0,1
0.99609375,0,1
0.9975429975429976,0,1
1.0,0,1
0.9921875,0,1
0.998046875,0,1
0.998046875,0,1
1.0,0,1
0.994140625,0,1
0.99609375,0,1
1.0,0,1
1.0,0,1
0.8727272727272727,1,1
1.0,0,1
0.998046875,0,1
0.9975429975429976,0,1
1.0,0,1
0.998046875,0,1
0.998046875,0,1
1.0,0,1
1.0,0,1
0.998046875,0,1
1.0,0,1
1.0,0,1
0.998046875,0,1
1.0,0,1
0.998046875,0,1
0.998046875,0,1
1.0,0,1
0.99609375,0,1
0.998046875,0,1
1.0,0,1
1.0,0,1
1.0,0,1
0.9975429975429976,0,1
0.9975429975429976,0,1
1.0,0,1
1.0,0,1
1.0,0,1
1.0,0,1
0.9975429975429976,0,1
1.0,0,1
0.998046875,0,1
1.0,1,1
1.0,0,1
0.994140625,0,1
1.0,0,1
0.994140625,0,1
0.9482758620689655,1,1
0.998046875,0,1
0.994140625,0,1
0.9975429975429976,0,1
0.8727272727272727,1,1
0.9921875,0,1
1.0,0,1
0.99609375,0,1
0.9975429975429976,0,1
1.0,0,1
0.9975429975429976,0,1
0.998046875,0,1
1.0,0,1
1.0,0,1
0.998046875,0,1
0.8545454545454545,1,1
0.998046875,0,1
0.998046875,0,1
0.998046875,0,1
0.998046875,0,1
0.998046875,0,1
0.9975429975429976,0,1
1.0,0,1
0.998046875,0,1
1.0,0,1
1.0,0,1
0.998046875,0,1
0.9928571428571429,0,1
0.998046875,0,1
0.998046875,0,1
1.0,0,1
0.998046875,0,1
0.990234375,0,1
0.9975429975429976,0,1
0.998046875,0,1
1.0,0,1
1.0,0,1
1.0,0,1
1.0,0,1
0.990234375,0,1
0.998046875,0,1
0.9975429975429976,0,1
1.0,0,1
0.998046875,0,1
1.0,0,1
0.99609375,0,1
0.998046875,0,1
1.0,0,1
1.0,0,1
0.9487179487179487,1,1
1.0,0,1
0.998046875,1,1
0.998046875,0,1
0.998046875,0,1
1.0,0,1
1.0,0,1
